solver,B,N,seed,test_elbo,test_acc,val_acc,train_loss,train_time_s
geometric_euler,30,30,0,0.35846299456276054,0.867770968411715,0.8732506978841369,1.6387568257846763,67.36782574653625
geometric_euler,30,30,1,0.28252467799732706,0.8570686833549092,0.8661200890550168,1.589961589732528,68.80281376838684
cfees25,30,10,0,1.355529875427712,0.8856335683633353,0.8952907366452613,2.3267038186770086,296.5301299095154
cfees25,30,10,1,1.3438750469047605,0.8803511229180198,0.8863107543882582,2.3234369366615124,296.96956062316895
